"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","44","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","createNewPetTest","[2] pending","Test to verify that it is possible to create a new pet"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","101","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","deletePetTest","Test to verify that pet can be deleted","Test to verify that pet can be deleted"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","453","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","getByItTest","Test to verify that it is possible to get a pet by id","Test to verify that it is possible to get a pet by id"
"passed","Mon Jun 08 14:16:46 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","2695","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","uploadFileTest","Test to verify that it is possible to upload file","Test to verify that it is possible to upload file"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","77","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","createNewPetTest","[1] available","Test to verify that it is possible to create a new pet"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","32","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","createNewPetTest","[3] sold","Test to verify that it is possible to create a new pet"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","97","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","findByStatus","Find by status for -  sold","Test to verify that it is possible to  find a pet by status"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","51","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","updateWithFormDataTest","Test to verify that it is possible to update existing pet with form data","Test to verify that it is possible to update existing pet with form data"
"passed","Mon Jun 08 14:16:46 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","2672","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","updatePetTest","Test to verify that it is possible to update pet","Test to verify that it is possible to update pet"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","31","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","findByStatus","Find by status for -  pending","Test to verify that it is possible to  find a pet by status"
"passed","Mon Jun 08 14:16:49 UTC 2020","Mon Jun 08 14:16:49 UTC 2020","287","","Test suite for PET endpoint","","com.alemdianov.api.tests.PesstoreApiTest","findByStatus","Find by status for -  available","Test to verify that it is possible to  find a pet by status"
